round tokens A4_us B4_us C4_us A4_C4_pct B4_C4_pct
1 1 9.064 6.976 6.040 +33.36 +13.42
1 32 8.744 6.336 5.512 +36.96 +13.01
1 64 9.272 6.768 5.968 +35.63 +11.82
1 256 14.272 12.248 10.184 +28.64 +16.85
2 1 9.176 7.024 6.048 +34.09 +13.90
2 32 8.736 6.328 5.504 +37.00 +13.02
2 64 9.260 6.776 5.968 +35.55 +11.92
2 256 14.272 12.248 10.184 +28.64 +16.85
3 1 9.176 7.024 6.048 +34.09 +13.90
3 32 8.728 6.328 5.512 +36.85 +12.90
3 64 9.260 6.776 5.968 +35.55 +11.92
3 256 14.264 12.248 10.184 +28.60 +16.85
